in s,C1 in V,C2 in V
-2.9867947E-01,5.89152E+00,6.40082E+00
-2.9866567E-01,5.83293E+00,6.51801E+00
-2.9865187E-01,5.92082E+00,6.45941E+00
-2.9863807E-01,5.86223E+00,6.51801E+00
-2.9862427E-01,5.86223E+00,6.45941E+00
-2.9861047E-01,5.92082E+00,6.57660E+00
-2.9859667E-01,5.83293E+00,6.51801E+00
-2.9858287E-01,5.89152E+00,6.48871E+00
-2.9856907E-01,5.92082E+00,6.51801E+00
-2.9855527E-01,5.92082E+00,6.63520E+00
-2.9854147E-01,5.83293E+00,6.54730E+00
-2.9852767E-01,5.92082E+00,6.57660E+00
-2.9851387E-01,6.00871E+00,6.54730E+00
-2.9850007E-01,5.92082E+00,6.63520E+00
-2.9848627E-01,5.92082E+00,6.43012E+00
-2.9847247E-01,5.80363E+00,6.51801E+00
-2.9845867E-01,5.95012E+00,6.54730E+00
-2.9844487E-01,5.77434E+00,6.51801E+00
-2.9843107E-01,5.86223E+00,6.54730E+00
-2.9841727E-01,5.89152E+00,6.54730E+00
-2.9840347E-01,5.83293E+00,6.48871E+00
-2.9838967E-01,5.92082E+00,6.57660E+00
-2.9837587E-01,5.80363E+00,6.48871E+00
-2.9836207E-01,5.83293E+00,6.51801E+00
-2.9834827E-01,5.83293E+00,6.48871E+00
-2.9833447E-01,5.86223E+00,6.57660E+00
-2.9832067E-01,5.83293E+00,6.51801E+00
-2.9830687E-01,5.86223E+00,6.57660E+00
-2.9829307E-01,5.92082E+00,6.48871E+00
-2.9827927E-01,5.92082E+00,6.60590E+00
-2.9826547E-01,5.89152E+00,6.51801E+00
-2.9825167E-01,5.95012E+00,6.51801E+00
-2.9823787E-01,5.92082E+00,6.48871E+00
-2.9822407E-01,5.92082E+00,6.54730E+00
-2.9821027E-01,5.83293E+00,6.51801E+00
-2.9819647E-01,5.83293E+00,6.51801E+00
-2.9818267E-01,5.89152E+00,6.54730E+00
-2.9816887E-01,5.86223E+00,6.51801E+00
-2.9815507E-01,5.89152E+00,6.51801E+00
-2.9814127E-01,5.77434E+00,6.51801E+00
-2.9812747E-01,5.89152E+00,6.51801E+00
-2.9811367E-01,5.95012E+00,6.66449E+00
-2.9809987E-01,5.83293E+00,6.60590E+00
-2.9808607E-01,5.80363E+00,6.51801E+00
-2.9807227E-01,5.92082E+00,6.66449E+00
-2.9805847E-01,5.95012E+00,6.57660E+00
-2.9804467E-01,5.83293E+00,6.60590E+00
-2.9803087E-01,5.83293E+00,6.60590E+00
-2.9801707E-01,5.89152E+00,6.57660E+00
-2.9800327E-01,5.83293E+00,6.60590E+00
-2.9798947E-01,5.83293E+00,6.57660E+00
-2.9797567E-01,5.92082E+00,6.60590E+00
-2.9796187E-01,5.80363E+00,6.60590E+00
-2.9794807E-01,5.86223E+00,6.51801E+00
-2.9793427E-01,5.95012E+00,6.60590E+00
-2.9792047E-01,5.92082E+00,6.60590E+00
-2.9790667E-01,5.95012E+00,6.51801E+00
-2.9789287E-01,5.86223E+00,6.57660E+00
-2.9787907E-01,5.89152E+00,6.57660E+00
-2.9786527E-01,5.80363E+00,6.60590E+00
-2.9785147E-01,5.92082E+00,6.60590E+00
-2.9783767E-01,5.83293E+00,6.63520E+00
-2.9782387E-01,5.89152E+00,6.75238E+00
-2.9781007E-01,5.89152E+00,6.48871E+00
-2.9779627E-01,5.92082E+00,6.43012E+00
-2.9778247E-01,5.89152E+00,6.63520E+00
-2.9776867E-01,5.86223E+00,6.60590E+00
-2.9775487E-01,5.83293E+00,6.54730E+00
-2.9774107E-01,5.83293E+00,6.66449E+00
-2.9772727E-01,5.92082E+00,6.63520E+00
-2.9771347E-01,5.92082E+00,6.72309E+00
-2.9769967E-01,5.86223E+00,6.63520E+00
-2.9768587E-01,5.92082E+00,6.69379E+00
-2.9767207E-01,5.92082E+00,6.66449E+00
-2.9765827E-01,5.83293E+00,6.69379E+00
-2.9764447E-01,5.86223E+00,6.66449E+00
-2.9763067E-01,5.92082E+00,6.51801E+00
-2.9761687E-01,5.83293E+00,6.66449E+00
-2.9760307E-01,5.92082E+00,6.72309E+00
-2.9758927E-01,5.83293E+00,6.63520E+00
-2.9757547E-01,5.83293E+00,6.54730E+00
-2.9756167E-01,5.83293E+00,6.63520E+00
-2.9754787E-01,5.83293E+00,6.69379E+00
-2.9753407E-01,5.83293E+00,6.60590E+00
-2.9752027E-01,5.83293E+00,6.72309E+00
-2.9750647E-01,5.92082E+00,6.69379E+00
-2.9749267E-01,5.80363E+00,6.63520E+00
