in s,C1 in V,C2 in V
-2.8200E-02,1.25439E+01,1.17098E+01
-2.8194E-02,1.24951E+01,1.16902E+01
-2.8188E-02,1.25439E+01,1.16512E+01
-2.8182E-02,1.24463E+01,1.17293E+01
-2.8176E-02,1.25439E+01,1.16512E+01
-2.8170E-02,1.24951E+01,1.16902E+01
-2.8164E-02,1.25439E+01,1.16902E+01
-2.8158E-02,1.25928E+01,1.17098E+01
-2.8152E-02,1.26904E+01,1.16707E+01
-2.8146E-02,1.25928E+01,1.17098E+01
-2.8140E-02,1.25928E+01,1.17293E+01
-2.8134E-02,1.25928E+01,1.17684E+01
-2.8128E-02,1.25439E+01,1.17098E+01
-2.8122E-02,1.25928E+01,1.17293E+01
-2.8116E-02,1.24951E+01,1.17098E+01
-2.8110E-02,1.24951E+01,1.16902E+01
-2.8104E-02,1.25439E+01,1.16902E+01
-2.8098E-02,1.26416E+01,1.17293E+01
-2.8092E-02,1.25439E+01,1.16707E+01
-2.8086E-02,1.28857E+01,1.17293E+01
-2.8080E-02,1.25439E+01,1.17684E+01
-2.8074E-02,1.24463E+01,1.17488E+01
-2.8068E-02,1.24463E+01,1.17488E+01
-2.8062E-02,1.27393E+01,1.16902E+01
-2.8056E-02,1.25928E+01,1.17293E+01
-2.8050E-02,1.26904E+01,1.17098E+01
-2.8044E-02,1.27881E+01,1.17879E+01
-2.8038E-02,1.26904E+01,1.17684E+01
-2.8032E-02,1.26416E+01,1.17098E+01
-2.8026E-02,1.24951E+01,1.17684E+01
-2.8020E-02,1.26904E+01,1.16512E+01
-2.8014E-02,1.25439E+01,1.17098E+01
-2.8008E-02,1.25439E+01,1.17098E+01
-2.8002E-02,1.26416E+01,1.17684E+01
-2.7996E-02,1.26416E+01,1.17098E+01
-2.7990E-02,1.26416E+01,1.17098E+01
-2.7984E-02,1.25928E+01,1.17488E+01
-2.7978E-02,1.25439E+01,1.17098E+01
-2.7972E-02,1.26904E+01,1.17684E+01
-2.7966E-02,1.27881E+01,1.17684E+01
-2.7960E-02,1.26904E+01,1.17098E+01
-2.7954E-02,1.25928E+01,1.17879E+01
-2.7948E-02,1.26416E+01,1.17293E+01
-2.7942E-02,1.27393E+01,1.17879E+01
-2.7936E-02,1.27881E+01,1.16707E+01
-2.7930E-02,1.27393E+01,1.18465E+01
-2.7924E-02,1.27881E+01,1.17488E+01
-2.7918E-02,1.25928E+01,1.17098E+01
-2.7912E-02,1.26904E+01,1.17684E+01
-2.7906E-02,1.24951E+01,1.17488E+01
-2.7900E-02,1.26904E+01,1.18465E+01
-2.7894E-02,1.26416E+01,1.18465E+01
-2.7888E-02,1.26904E+01,1.17879E+01
-2.7882E-02,1.25439E+01,1.17684E+01
-2.7876E-02,1.27881E+01,1.18270E+01
-2.7870E-02,1.27393E+01,1.17879E+01
-2.7864E-02,1.27393E+01,1.17879E+01
-2.7858E-02,1.25928E+01,1.17879E+01
-2.7852E-02,1.28857E+01,1.18465E+01
-2.7846E-02,1.28857E+01,1.17879E+01
-2.7840E-02,1.28369E+01,1.17293E+01
-2.7834E-02,1.26904E+01,1.17879E+01
-2.7828E-02,1.30322E+01,1.17879E+01
-2.7822E-02,1.26904E+01,1.17879E+01
-2.7816E-02,1.29834E+01,1.17684E+01
-2.7810E-02,1.25439E+01,1.18270E+01
-2.7804E-02,1.28857E+01,1.17684E+01
-2.7798E-02,1.27393E+01,1.17879E+01
-2.7792E-02,1.27881E+01,1.18270E+01
-2.7786E-02,1.27393E+01,1.18270E+01
-2.7780E-02,1.26904E+01,1.18465E+01
-2.7774E-02,1.28369E+01,1.18270E+01
-2.7768E-02,1.28857E+01,1.17879E+01
-2.7762E-02,1.27881E+01,1.18465E+01
-2.7756E-02,1.27393E+01,1.18270E+01
-2.7750E-02,1.28369E+01,1.18270E+01
-2.7744E-02,1.26904E+01,1.18270E+01
-2.7738E-02,1.28369E+01,1.17879E+01
-2.7732E-02,1.28857E+01,1.18270E+01
-2.7726E-02,1.28369E+01,1.18465E+01
-2.7720E-02,1.28369E+01,1.17488E+01
-2.7714E-02,1.30322E+01,1.18660E+01
-2.7708E-02,1.28857E+01,1.18465E+01
-2.7702E-02,1.28369E+01,1.18465E+01
-2.7696E-02,1.28857E+01,1.18074E+01
-2.7690E-02,1.28369E+01,1.17879E+01
-2.7684E-02,1.27881E+01,1.18465E+01
-2.7678E-02,1.28369E+01,1.19051E+01
-2.7672E-02,1.29346E+01,1.18855E+01
-2.7666E-02,1.28857E+01,1.18074E+01
-2.7660E-02,1.27881E+01,1.18465E+01
-2.7654E-02,1.29834E+01,1.18270E+01
-2.7648E-02,1.28369E+01,1.18270E+01
-2.7642E-02,1.27881E+01,1.17879E+01
-2.7636E-02,1.30322E+01,1.19246E+01
-2.7630E-02,1.28857E+01,1.18465E+01
-2.7624E-02,1.28369E+01,1.18660E+01
-2.7618E-02,1.27393E+01,1.18660E+01
-2.7612E-02,1.28857E+01,1.18465E+01
-2.7606E-02,1.27881E+01,1.18855E+01
-2.7600E-02,1.29346E+01,1.18074E+01
-2.7594E-02,1.28857E+01,1.18465E+01
-2.7588E-02,1.28857E+01,1.18855E+01
-2.7582E-02,1.28857E+01,1.19051E+01
-2.7576E-02,1.28369E+01,1.18465E+01
-2.7570E-02,1.29834E+01,1.19246E+01
-2.7564E-02,1.28369E+01,1.18660E+01
-2.7558E-02,1.29834E+01,1.18074E+01
-2.7552E-02,1.28369E+01,1.18855E+01
-2.7546E-02,1.30322E+01,1.18074E+01
-2.7540E-02,1.27881E+01,1.19051E+01
-2.7534E-02,1.27393E+01,1.18855E+01
-2.7528E-02,1.31299E+01,1.18855E+01
-2.7522E-02,1.30322E+01,1.18660E+01
-2.7516E-02,1.30811E+01,1.18660E+01
-2.7510E-02,1.29346E+01,1.18074E+01
-2.7504E-02,1.31299E+01,1.19832E+01
-2.7498E-02,1.28857E+01,1.18074E+01
-2.7492E-02,1.30322E+01,1.18855E+01
-2.7486E-02,1.30322E+01,1.18465E+01
-2.7480E-02,1.30811E+01,1.18270E+01
-2.7474E-02,1.29346E+01,1.18855E+01
-2.7468E-02,1.30811E+01,1.18660E+01
-2.7462E-02,1.30811E+01,1.19246E+01
-2.7456E-02,1.30322E+01,1.18660E+01
-2.7450E-02,1.30811E+01,1.18660E+01
-2.7444E-02,1.28369E+01,1.19441E+01
