in s,C1 in V
-3.952872E-01,3.0233231E+00
-3.952044E-01,3.0229416E+00
-3.951216E-01,3.0229416E+00
-3.950388E-01,3.0225601E+00
-3.949560E-01,3.0230179E+00
-3.948732E-01,3.0229416E+00
-3.947904E-01,3.0226364E+00
-3.947076E-01,3.0226364E+00
-3.946248E-01,3.0227890E+00
-3.945420E-01,3.0228653E+00
-3.944592E-01,3.0227890E+00
-3.943764E-01,3.0228653E+00
-3.942936E-01,3.0230179E+00
-3.942108E-01,3.0230942E+00
-3.941280E-01,3.0237045E+00
-3.940452E-01,3.0235519E+00
-3.939624E-01,3.0232468E+00
-3.938796E-01,3.0238571E+00
-3.937968E-01,3.0235519E+00
-3.937140E-01,3.0239334E+00
-3.936312E-01,3.0240860E+00
-3.935484E-01,3.0245438E+00
-3.934656E-01,3.0237808E+00
-3.933828E-01,3.0231705E+00
-3.933000E-01,3.0230942E+00
-3.932172E-01,3.0231705E+00
-3.931344E-01,3.0226364E+00
-3.930516E-01,3.0230942E+00
-3.929688E-01,3.0231705E+00
-3.928860E-01,3.0229416E+00
-3.928032E-01,3.0232468E+00
-3.927204E-01,3.0234756E+00
-3.926376E-01,3.0235519E+00
-3.925548E-01,3.0229416E+00
-3.924720E-01,3.0230179E+00
-3.923892E-01,3.0229416E+00
-3.923064E-01,3.0227127E+00
-3.922236E-01,3.0226364E+00
-3.921408E-01,3.0227127E+00
-3.920580E-01,3.0225601E+00
-3.919752E-01,3.0229416E+00
-3.918924E-01,3.0236282E+00
-3.918096E-01,3.0235519E+00
-3.917268E-01,3.0236282E+00
-3.916440E-01,3.0233994E+00
-3.915612E-01,3.0230942E+00
-3.914784E-01,3.0232468E+00
-3.913956E-01,3.0227890E+00
-3.913128E-01,3.0226364E+00
-3.912300E-01,3.0230942E+00
-3.911472E-01,3.0228653E+00
-3.910644E-01,3.0227127E+00
-3.909816E-01,3.0224838E+00
-3.908988E-01,3.0226364E+00
-3.908160E-01,3.0230179E+00
-3.907332E-01,3.0233231E+00
-3.906504E-01,3.0234756E+00
-3.905676E-01,3.0230942E+00
-3.904848E-01,3.0230179E+00
-3.904020E-01,3.0230942E+00
-3.903192E-01,3.0238571E+00
-3.902364E-01,3.0237045E+00
-3.901536E-01,3.0233231E+00
-3.900708E-01,3.0233231E+00
-3.899880E-01,3.0230942E+00
-3.899052E-01,3.0233994E+00
-3.898224E-01,3.0234756E+00
-3.897396E-01,3.0236282E+00
-3.896568E-01,3.0237808E+00
-3.895740E-01,3.0236282E+00
-3.894912E-01,3.0233231E+00
-3.894084E-01,3.0230942E+00
-3.893256E-01,3.0229416E+00
-3.892428E-01,3.0232468E+00
-3.891600E-01,3.0233994E+00
-3.890772E-01,3.0230942E+00
-3.889944E-01,3.0229416E+00
-3.889116E-01,3.0233231E+00
-3.888288E-01,3.0234756E+00
-3.887460E-01,3.0234756E+00
-3.886632E-01,3.0238571E+00
-3.885804E-01,3.0238571E+00
-3.884976E-01,3.0233231E+00
-3.884148E-01,3.0232468E+00
-3.883320E-01,3.0229416E+00
-3.882492E-01,3.0230942E+00
-3.881664E-01,3.0230942E+00
-3.880836E-01,3.0229416E+00
-3.880008E-01,3.0233994E+00
-3.879180E-01,3.0229416E+00
-3.878352E-01,3.0230942E+00
-3.877524E-01,3.0226364E+00
-3.876696E-01,3.0226364E+00
-3.875868E-01,3.0233994E+00
-3.875040E-01,3.0237045E+00
-3.874212E-01,3.0230942E+00
-3.873384E-01,3.0227890E+00
-3.872556E-01,3.0227127E+00
-3.871728E-01,3.0227127E+00
-3.870900E-01,3.0226364E+00
-3.870072E-01,3.0224838E+00
-3.869244E-01,3.0221786E+00
-3.868416E-01,3.0224838E+00
-3.867588E-01,3.0227890E+00
-3.866760E-01,3.0230179E+00
-3.865932E-01,3.0234756E+00
-3.865104E-01,3.0237808E+00
-3.864276E-01,3.0241623E+00
-3.863448E-01,3.0233231E+00
-3.862620E-01,3.0233231E+00
-3.861792E-01,3.0233994E+00
-3.860964E-01,3.0228653E+00
-3.860136E-01,3.0230942E+00
-3.859308E-01,3.0233994E+00
