in s,C1 in V
-3.11982E-01,5.4917389E-01
-3.11916E-01,5.4787689E-01
-3.11850E-01,5.4871613E-01
-3.11784E-01,5.4963165E-01
-3.11718E-01,5.4894501E-01
-3.11652E-01,5.4917389E-01
-3.11586E-01,5.4871613E-01
-3.11520E-01,5.4749542E-01
-3.11454E-01,5.4833466E-01
-3.11388E-01,5.4863983E-01
-3.11322E-01,5.4818207E-01
-3.11256E-01,5.4787689E-01
-3.11190E-01,5.4619843E-01
-3.11124E-01,5.4825836E-01
-3.11058E-01,5.4787689E-01
-3.10992E-01,5.4726654E-01
-3.10926E-01,5.4833466E-01
-3.10860E-01,5.4833466E-01
-3.10794E-01,5.4749542E-01
-3.10728E-01,5.4696136E-01
-3.10662E-01,5.4719025E-01
-3.10596E-01,5.4833466E-01
-3.10530E-01,5.4604584E-01
-3.10464E-01,5.4635101E-01
-3.10398E-01,5.4841095E-01
-3.10332E-01,5.4841095E-01
-3.10266E-01,5.4856354E-01
-3.10200E-01,5.4917389E-01
-3.10134E-01,5.4764801E-01
-3.10068E-01,5.4741913E-01
-3.10002E-01,5.4787689E-01
-3.09936E-01,5.4810577E-01
-3.09870E-01,5.4841095E-01
-3.09804E-01,5.4848724E-01
-3.09738E-01,5.4863983E-01
-3.09672E-01,5.4894501E-01
-3.09606E-01,5.4818207E-01
-3.09540E-01,5.4879242E-01
-3.09474E-01,5.4886871E-01
-3.09408E-01,5.4787689E-01
-3.09342E-01,5.4848724E-01
-3.09276E-01,5.4886871E-01
-3.09210E-01,5.4841095E-01
-3.09144E-01,5.4863983E-01
-3.09078E-01,5.4856354E-01
-3.09012E-01,5.4993683E-01
-3.08946E-01,5.4841095E-01
-3.08880E-01,5.4963165E-01
-3.08814E-01,5.4932648E-01
-3.08748E-01,5.4825836E-01
-3.08682E-01,5.4627472E-01
-3.08616E-01,5.4642731E-01
-3.08550E-01,5.4719025E-01
-3.08484E-01,5.4764801E-01
-3.08418E-01,5.4825836E-01
-3.08352E-01,5.4841095E-01
-3.08286E-01,5.4886871E-01
-3.08220E-01,5.4780060E-01
-3.08154E-01,5.4848724E-01
-3.08088E-01,5.4886871E-01
-3.08022E-01,5.4749542E-01
-3.07956E-01,5.4757172E-01
-3.07890E-01,5.4741913E-01
-3.07824E-01,5.4719025E-01
-3.07758E-01,5.4802948E-01
-3.07692E-01,5.4772430E-01
-3.07626E-01,5.4841095E-01
-3.07560E-01,5.4871613E-01
-3.07494E-01,5.4802948E-01
-3.07428E-01,5.4757172E-01
-3.07362E-01,5.4787689E-01
-3.07296E-01,5.4947906E-01
-3.07230E-01,5.4871613E-01
-3.07164E-01,5.4841095E-01
-3.07098E-01,5.4833466E-01
-3.07032E-01,5.4856354E-01
-3.06966E-01,5.4886871E-01
-3.06900E-01,5.4833466E-01
-3.06834E-01,5.4825836E-01
-3.06768E-01,5.4818207E-01
-3.06702E-01,5.4886871E-01
-3.06636E-01,5.4925018E-01
-3.06570E-01,5.4902130E-01
-3.06504E-01,5.4833466E-01
-3.06438E-01,5.4818207E-01
-3.06372E-01,5.4848724E-01
-3.06306E-01,5.4925018E-01
-3.06240E-01,5.4833466E-01
-3.06174E-01,5.4802948E-01
-3.06108E-01,5.4871613E-01
-3.06042E-01,5.4894501E-01
-3.05976E-01,5.4871613E-01
-3.05910E-01,5.4848724E-01
-3.05844E-01,5.4848724E-01
-3.05778E-01,5.4917389E-01
-3.05712E-01,5.4818207E-01
-3.05646E-01,5.4917389E-01
-3.05580E-01,5.4993683E-01
-3.05514E-01,5.4986053E-01
-3.05448E-01,5.4871613E-01
-3.05382E-01,5.4772430E-01
-3.05316E-01,5.4848724E-01
-3.05250E-01,5.4795319E-01
-3.05184E-01,5.4802948E-01
-3.05118E-01,5.4780060E-01
-3.05052E-01,5.4726654E-01
-3.04986E-01,5.4665619E-01
-3.04920E-01,5.4726654E-01
-3.04854E-01,5.4802948E-01
-3.04788E-01,5.4764801E-01
-3.04722E-01,5.4818207E-01
-3.04656E-01,5.4848724E-01
-3.04590E-01,5.4810577E-01
-3.04524E-01,5.4688507E-01
-3.04458E-01,5.4619843E-01
-3.04392E-01,5.4635101E-01
-3.04326E-01,5.4627472E-01
-3.04260E-01,5.4642731E-01
-3.04194E-01,5.4665619E-01
