in s,C1 in V,C2 in V
-2.898600E+00,1.07178E+01,1.34033E+01
-2.898000E+00,1.06201E+01,1.37939E+01
-2.897400E+00,1.07666E+01,1.41357E+01
-2.896800E+00,1.07666E+01,1.41357E+01
-2.896200E+00,1.07178E+01,1.39404E+01
-2.895600E+00,1.06201E+01,1.34521E+01
-2.895000E+00,1.07178E+01,1.32080E+01
-2.894400E+00,1.07178E+01,1.32568E+01
-2.893800E+00,1.07178E+01,1.34033E+01
-2.893200E+00,1.07178E+01,1.36475E+01
-2.892600E+00,1.07666E+01,1.39893E+01
-2.892000E+00,1.04736E+01,1.41357E+01
-2.891400E+00,1.05225E+01,1.40869E+01
-2.890800E+00,1.06689E+01,1.31592E+01
-2.890200E+00,1.06201E+01,1.32568E+01
-2.889600E+00,1.06689E+01,1.30615E+01
-2.889000E+00,1.05225E+01,1.31104E+01
-2.888400E+00,1.07178E+01,1.34521E+01
-2.887800E+00,1.05713E+01,1.38916E+01
-2.887200E+00,1.06689E+01,1.39893E+01
-2.886600E+00,1.06201E+01,1.41357E+01
-2.886000E+00,1.06689E+01,1.35498E+01
-2.885400E+00,1.05713E+01,1.30615E+01
-2.884800E+00,1.04736E+01,1.29150E+01
-2.884200E+00,1.05713E+01,1.32080E+01
-2.883600E+00,1.06689E+01,1.34033E+01
-2.883000E+00,1.05713E+01,1.36963E+01
-2.882400E+00,1.05713E+01,1.38916E+01
-2.881800E+00,1.06201E+01,1.39404E+01
-2.881200E+00,1.05225E+01,1.38428E+01
-2.880600E+00,1.03271E+01,1.33545E+01
-2.880000E+00,1.05225E+01,1.31104E+01
-2.879400E+00,1.05713E+01,1.30615E+01
-2.878800E+00,1.06689E+01,1.33545E+01
-2.878200E+00,1.04736E+01,1.35986E+01
-2.877600E+00,1.05225E+01,1.38428E+01
-2.877000E+00,1.05225E+01,1.38916E+01
-2.876400E+00,1.05713E+01,1.36963E+01
-2.875800E+00,1.05225E+01,1.32568E+01
-2.875200E+00,1.04736E+01,1.30615E+01
-2.874600E+00,1.04248E+01,1.28662E+01
-2.874000E+00,1.05225E+01,1.31104E+01
-2.873400E+00,1.05713E+01,1.34033E+01
-2.872800E+00,1.04248E+01,1.37939E+01
-2.872200E+00,1.03760E+01,1.37939E+01
-2.871600E+00,1.04736E+01,1.38916E+01
-2.871000E+00,1.05225E+01,1.36963E+01
-2.870400E+00,1.04248E+01,1.31592E+01
-2.869800E+00,1.04736E+01,1.27686E+01
-2.869200E+00,1.05225E+01,1.28662E+01
-2.868600E+00,1.04736E+01,1.29150E+01
-2.868000E+00,1.03760E+01,1.32568E+01
-2.867400E+00,1.04248E+01,1.34521E+01
-2.866800E+00,1.05225E+01,1.37451E+01
-2.866200E+00,1.04736E+01,1.36475E+01
-2.865600E+00,1.04248E+01,1.35986E+01
-2.865000E+00,1.02783E+01,1.31104E+01
-2.864400E+00,1.03760E+01,1.30127E+01
-2.863800E+00,1.02783E+01,1.28662E+01
-2.863200E+00,1.03760E+01,1.32080E+01
-2.862600E+00,1.04736E+01,1.33545E+01
-2.862000E+00,1.03760E+01,1.36475E+01
-2.861400E+00,1.05225E+01,1.36475E+01
-2.860800E+00,1.04248E+01,1.35010E+01
-2.860200E+00,1.03760E+01,1.30615E+01
-2.859600E+00,1.03271E+01,1.27686E+01
-2.859000E+00,1.04736E+01,1.26709E+01
-2.858400E+00,1.02783E+01,1.30127E+01
-2.857800E+00,1.04248E+01,1.33545E+01
-2.857200E+00,1.03271E+01,1.35986E+01
-2.856600E+00,1.01318E+01,1.36475E+01
-2.856000E+00,1.03760E+01,1.36963E+01
-2.855400E+00,1.02783E+01,1.28662E+01
-2.854800E+00,1.03271E+01,1.28174E+01
-2.854200E+00,1.02295E+01,1.25732E+01
-2.853600E+00,1.02295E+01,1.26221E+01
-2.853000E+00,1.05225E+01,1.27197E+01
-2.852400E+00,1.01318E+01,1.32568E+01
-2.851800E+00,1.03760E+01,1.35986E+01
-2.851200E+00,1.02783E+01,1.35498E+01
-2.850600E+00,1.01807E+01,1.31592E+01
-2.850000E+00,1.01807E+01,1.30615E+01
-2.849400E+00,1.02295E+01,1.25732E+01
-2.848800E+00,1.02295E+01,1.25732E+01
-2.848200E+00,1.03271E+01,1.25732E+01
-2.847600E+00,1.03271E+01,1.30127E+01
-2.847000E+00,1.03271E+01,1.33545E+01
-2.846400E+00,1.02783E+01,1.34521E+01
-2.845800E+00,1.02295E+01,1.34521E+01
-2.845200E+00,1.02783E+01,1.33545E+01
-2.844600E+00,1.01807E+01,1.27197E+01
-2.844000E+00,1.00342E+01,1.25244E+01
-2.843400E+00,1.03271E+01,1.27197E+01
-2.842800E+00,1.02295E+01,1.25732E+01
-2.842200E+00,1.01318E+01,1.30615E+01
-2.841600E+00,1.02295E+01,1.33057E+01
-2.841000E+00,1.03271E+01,1.35498E+01
-2.840400E+00,1.03271E+01,1.34521E+01
-2.839800E+00,1.02295E+01,1.29150E+01
-2.839200E+00,9.93652E+00,1.26221E+01
-2.838600E+00,1.00830E+01,1.25244E+01
-2.838000E+00,9.98535E+00,1.25732E+01
-2.837400E+00,1.00342E+01,1.28174E+01
-2.836800E+00,9.98535E+00,1.30615E+01
-2.836200E+00,1.00830E+01,1.34033E+01
-2.835600E+00,1.02295E+01,1.32568E+01
-2.835000E+00,1.00830E+01,1.33545E+01
-2.834400E+00,9.88770E+00,1.29639E+01
-2.833800E+00,9.98535E+00,1.23779E+01
-2.833200E+00,1.00342E+01,1.22314E+01
-2.832600E+00,1.01318E+01,1.24756E+01
-2.832000E+00,1.00830E+01,1.26709E+01
-2.831400E+00,1.01807E+01,1.30127E+01
-2.830800E+00,1.01807E+01,1.32080E+01
-2.830200E+00,1.03271E+01,1.32080E+01
-2.829600E+00,1.01318E+01,1.30615E+01
-2.829000E+00,9.98535E+00,1.27197E+01
-2.828400E+00,1.00342E+01,1.23779E+01
-2.827800E+00,1.01318E+01,1.23291E+01
-2.827200E+00,9.93652E+00,1.23779E+01
-2.826600E+00,1.00342E+01,1.27686E+01
-2.826000E+00,9.88770E+00,1.30127E+01
-2.825400E+00,1.01807E+01,1.31592E+01
-2.824800E+00,1.00830E+01,1.32568E+01
-2.824200E+00,9.98535E+00,1.28662E+01
-2.823600E+00,1.00830E+01,1.27197E+01
-2.823000E+00,1.01807E+01,1.23779E+01
-2.822400E+00,1.00830E+01,1.23291E+01
-2.821800E+00,9.98535E+00,1.23779E+01
-2.821200E+00,9.98535E+00,1.30127E+01
-2.820600E+00,9.88770E+00,1.31592E+01
-2.820000E+00,9.93652E+00,1.33057E+01
-2.819400E+00,1.01807E+01,1.33545E+01
-2.818800E+00,1.01318E+01,1.28174E+01
-2.818200E+00,9.98535E+00,1.23291E+01
-2.817600E+00,9.98535E+00,1.20850E+01
-2.817000E+00,1.00342E+01,1.20850E+01
-2.816400E+00,9.93652E+00,1.24756E+01
