in s,C1 in V,C2 in V,C3 in V
3.360000E-02,1.40869E+01,9.59473E+00,1.35742E-01
3.360000E-02,1.48682E+01,1.09131E+01,2.43164E-01
3.420000E-02,1.40869E+01,9.64355E+00,1.35742E-01
3.420000E-02,1.48682E+01,1.07178E+01,2.45117E-01
3.480000E-02,1.40869E+01,9.74121E+00,1.39648E-01
3.480000E-02,1.48682E+01,1.06689E+01,2.45117E-01
3.540000E-02,1.41357E+01,9.83887E+00,1.66992E-01
3.540000E-02,1.48682E+01,1.08643E+01,2.17773E-01
3.600000E-02,1.41357E+01,9.93652E+00,1.39648E-01
3.600000E-02,1.48682E+01,1.11084E+01,2.29492E-01
3.660000E-02,1.41357E+01,1.01318E+01,1.35742E-01
3.660000E-02,1.48682E+01,1.13525E+01,2.29492E-01
3.720000E-02,1.41357E+01,1.03760E+01,1.35742E-01
3.720000E-02,1.48682E+01,1.15479E+01,2.21680E-01
3.780000E-02,1.41357E+01,1.06201E+01,1.37695E-01
3.780000E-02,1.48682E+01,1.15967E+01,2.15820E-01
3.840000E-02,1.41357E+01,1.07666E+01,1.57227E-01
3.840000E-02,1.48193E+01,1.16455E+01,2.06055E-01
3.900000E-02,1.41357E+01,1.02783E+01,1.57227E-01
3.900000E-02,1.48682E+01,1.16455E+01,2.06055E-01
3.960000E-02,1.41357E+01,1.02783E+01,1.61133E-01
3.960000E-02,1.48682E+01,1.14990E+01,2.11914E-01
4.020000E-02,1.41357E+01,1.02783E+01,1.59180E-01
4.020000E-02,1.48682E+01,1.12549E+01,2.11914E-01
4.080000E-02,1.40869E+01,1.02783E+01,1.53320E-01
4.080000E-02,1.48682E+01,1.11572E+01,2.11914E-01
4.140000E-02,1.40869E+01,1.02783E+01,1.29883E-01
4.140000E-02,1.48682E+01,1.12549E+01,2.19727E-01
4.200000E-02,1.41357E+01,1.03271E+01,1.29883E-01
4.200000E-02,1.49170E+01,1.15479E+01,2.23633E-01
4.260000E-02,1.41357E+01,1.05225E+01,1.24023E-01
4.260000E-02,1.49170E+01,1.17920E+01,2.23633E-01
4.320000E-02,1.41357E+01,1.08643E+01,1.24023E-01
4.320000E-02,1.48682E+01,1.20361E+01,2.23633E-01
