in s,C1 in V,C2 in V
-5.64960E+00,1.39893E+01,1.73584E+01
-5.64840E+00,1.41357E+01,1.62842E+01
-5.64720E+00,1.40381E+01,1.65283E+01
-5.64600E+00,1.41357E+01,1.73584E+01
-5.64480E+00,1.41846E+01,1.66260E+01
-5.64360E+00,1.41846E+01,1.63330E+01
-5.64240E+00,1.40381E+01,1.72119E+01
-5.64120E+00,1.41357E+01,1.70166E+01
-5.64000E+00,1.41357E+01,1.62842E+01
-5.63880E+00,1.40869E+01,1.70166E+01
-5.63760E+00,1.40869E+01,1.73584E+01
-5.63640E+00,1.41357E+01,1.64795E+01
-5.63520E+00,1.40869E+01,1.66748E+01
-5.63400E+00,1.40869E+01,1.75049E+01
-5.63280E+00,1.41357E+01,1.69678E+01
-5.63160E+00,1.41357E+01,1.62354E+01
-5.63040E+00,1.38916E+01,1.71143E+01
-5.62920E+00,1.40869E+01,1.72607E+01
-5.62800E+00,1.40381E+01,1.64795E+01
-5.62680E+00,1.41357E+01,1.67236E+01
-5.62560E+00,1.41846E+01,1.73584E+01
-5.62440E+00,1.41357E+01,1.63818E+01
-5.62320E+00,1.39893E+01,1.66260E+01
-5.62200E+00,1.41357E+01,1.75537E+01
-5.62080E+00,1.39893E+01,1.66748E+01
-5.61960E+00,1.38916E+01,1.62842E+01
-5.61840E+00,1.41357E+01,1.70654E+01
-5.61720E+00,1.41357E+01,1.72119E+01
-5.61600E+00,1.39404E+01,1.62354E+01
-5.61480E+00,1.39893E+01,1.67725E+01
-5.61360E+00,1.40869E+01,1.72119E+01
-5.61240E+00,1.41357E+01,1.65283E+01
-5.61120E+00,1.38916E+01,1.64795E+01
-5.61000E+00,1.42334E+01,1.73584E+01
-5.60880E+00,1.40869E+01,1.70166E+01
-5.60760E+00,1.40869E+01,1.64307E+01
-5.60640E+00,1.40869E+01,1.71143E+01
-5.60520E+00,1.40869E+01,1.75537E+01
-5.60400E+00,1.40381E+01,1.64795E+01
-5.60280E+00,1.39404E+01,1.64307E+01
-5.60160E+00,1.41357E+01,1.72607E+01
-5.60040E+00,1.40381E+01,1.68213E+01
-5.59920E+00,1.39893E+01,1.62842E+01
-5.59800E+00,1.40381E+01,1.70166E+01
-5.59680E+00,1.40381E+01,1.73096E+01
-5.59560E+00,1.40869E+01,1.64795E+01
-5.59440E+00,1.38428E+01,1.69189E+01
-5.59320E+00,1.40869E+01,1.75537E+01
-5.59200E+00,1.40381E+01,1.62842E+01
-5.59080E+00,1.40381E+01,1.64307E+01
-5.58960E+00,1.40869E+01,1.73584E+01
-5.58840E+00,1.40869E+01,1.67236E+01
-5.58720E+00,1.40381E+01,1.63330E+01
-5.58600E+00,1.40381E+01,1.72119E+01
-5.58480E+00,1.40381E+01,1.72119E+01
-5.58360E+00,1.39404E+01,1.64307E+01
-5.58240E+00,1.39893E+01,1.69678E+01
-5.58120E+00,1.39893E+01,1.73584E+01
-5.58000E+00,1.40381E+01,1.64795E+01
-5.57880E+00,1.40381E+01,1.65771E+01
-5.57760E+00,1.38916E+01,1.74561E+01
-5.57640E+00,1.39893E+01,1.72119E+01
-5.57520E+00,1.40869E+01,1.61377E+01
-5.57400E+00,1.39404E+01,1.68701E+01
-5.57280E+00,1.40381E+01,1.72119E+01
-5.57160E+00,1.39893E+01,1.64307E+01
-5.57040E+00,1.40869E+01,1.64795E+01
-5.56920E+00,1.40381E+01,1.75537E+01
-5.56800E+00,1.41357E+01,1.68701E+01
-5.56680E+00,1.39404E+01,1.64795E+01
-5.56560E+00,1.40869E+01,1.74072E+01
-5.56440E+00,1.39893E+01,1.71631E+01
-5.56320E+00,1.40381E+01,1.61377E+01
-5.56200E+00,1.39893E+01,1.68213E+01
-5.56080E+00,1.40869E+01,1.73584E+01
-5.55960E+00,1.41357E+01,1.62354E+01
-5.55840E+00,1.38916E+01,1.66260E+01
-5.55720E+00,1.39893E+01,1.74072E+01
-5.55600E+00,1.40869E+01,1.65771E+01
-5.55480E+00,1.39893E+01,1.65283E+01
-5.55360E+00,1.39404E+01,1.73584E+01
-5.55240E+00,1.39404E+01,1.74072E+01
-5.55120E+00,1.39893E+01,1.62842E+01
-5.55000E+00,1.40869E+01,1.70654E+01
-5.54880E+00,1.40869E+01,1.75049E+01
-5.54760E+00,1.38428E+01,1.67725E+01
-5.54640E+00,1.38916E+01,1.63330E+01
-5.54520E+00,1.39404E+01,1.72119E+01
-5.54400E+00,1.39404E+01,1.73096E+01
-5.54280E+00,1.39893E+01,1.61377E+01
-5.54160E+00,1.38428E+01,1.71143E+01
-5.54040E+00,1.39893E+01,1.71143E+01
-5.53920E+00,1.38428E+01,1.65771E+01
-5.53800E+00,1.39893E+01,1.68213E+01
-5.53680E+00,1.39404E+01,1.75049E+01
-5.53560E+00,1.38428E+01,1.65283E+01
-5.53440E+00,1.38428E+01,1.62354E+01
-5.53320E+00,1.39404E+01,1.70166E+01
-5.53200E+00,1.37451E+01,1.68213E+01
-5.53080E+00,1.41357E+01,1.63818E+01
-5.52960E+00,1.39404E+01,1.67725E+01
-5.52840E+00,1.39893E+01,1.71631E+01
-5.52720E+00,1.38428E+01,1.62842E+01
-5.52600E+00,1.39404E+01,1.66748E+01
-5.52480E+00,1.39893E+01,1.73584E+01
-5.52360E+00,1.38916E+01,1.68213E+01
-5.52240E+00,1.39404E+01,1.63330E+01
-5.52120E+00,1.39893E+01,1.72119E+01
-5.52000E+00,1.39404E+01,1.72607E+01
-5.51880E+00,1.38916E+01,1.61865E+01
-5.51760E+00,1.39404E+01,1.66260E+01
-5.51640E+00,1.37939E+01,1.71631E+01
-5.51520E+00,1.39404E+01,1.65771E+01
-5.51400E+00,1.38916E+01,1.64795E+01
-5.51280E+00,1.39893E+01,1.71631E+01
-5.51160E+00,1.37939E+01,1.67725E+01
-5.51040E+00,1.37451E+01,1.63330E+01
-5.50920E+00,1.38916E+01,1.71143E+01
-5.50800E+00,1.38916E+01,1.73584E+01
-5.50680E+00,1.37939E+01,1.62354E+01
-5.50560E+00,1.40381E+01,1.64795E+01
-5.50440E+00,1.37939E+01,1.73584E+01
-5.50320E+00,1.37939E+01,1.65771E+01
-5.50200E+00,1.38916E+01,1.61377E+01
-5.50080E+00,1.39404E+01,1.71631E+01
-5.49960E+00,1.39404E+01,1.73584E+01
-5.49840E+00,1.41357E+01,1.62842E+01
-5.49720E+00,1.37939E+01,1.68213E+01
-5.49600E+00,1.39404E+01,1.72119E+01
-5.49480E+00,1.40381E+01,1.64307E+01
-5.49360E+00,1.38428E+01,1.63330E+01
-5.49240E+00,1.39404E+01,1.73584E+01
-5.49120E+00,1.38428E+01,1.62842E+01
